rec,val.pm1,val.pm2p5,val.pm10,tag,src
2019-03-20T00:01:00Z,9.1,14.2,28.5,scs-bgx-501,N2
2019-03-20T00:02:00Z,8.5,13.4,31.3,scs-bgx-501,N2
2019-03-20T00:03:00Z,8.9,13.6,33.3,scs-bgx-501,N2
2019-03-20T00:04:00Z,8.4,13.0,41.3,scs-bgx-501,N2
2019-03-20T00:05:00Z,8.1,12.6,33.8,scs-bgx-501,N2
2019-03-20T00:06:00Z,8.6,13.4,28.1,scs-bgx-501,N2
2019-03-20T00:07:00Z,8.5,13.1,29.2,scs-bgx-501,N2
2019-03-20T00:08:00Z,8.8,13.9,26.9,scs-bgx-501,N2
2019-03-20T00:09:00Z,8.9,14.2,36.2,scs-bgx-501,N2
2019-03-20T00:10:00Z,8.8,14.2,40.6,scs-bgx-501,N2
2019-03-20T00:11:00Z,8.7,13.9,37.1,scs-bgx-501,N2
2019-03-20T00:12:00Z,9.0,14.0,31.5,scs-bgx-501,N2
2019-03-20T00:13:00Z,8.9,14.1,33.1,scs-bgx-501,N2
2019-03-20T00:14:00Z,8.5,13.2,30.4,scs-bgx-501,N2
2019-03-20T00:15:00Z,8.6,13.7,31.8,scs-bgx-501,N2
2019-03-20T00:16:00Z,8.6,13.5,35.0,scs-bgx-501,N2
2019-03-20T00:17:00Z,8.5,13.0,31.8,scs-bgx-501,N2
2019-03-20T00:18:00Z,8.4,13.1,28.5,scs-bgx-501,N2
2019-03-20T00:19:00Z,8.5,13.4,28.0,scs-bgx-501,N2
2019-03-20T00:20:00Z,8.5,13.5,32.9,scs-bgx-501,N2
2019-03-20T00:21:00Z,9.2,14.4,32.6,scs-bgx-501,N2
2019-03-20T00:22:00Z,9.2,14.5,32.6,scs-bgx-501,N2
2019-03-20T00:23:00Z,8.9,14.0,35.2,scs-bgx-501,N2
2019-03-20T00:24:00Z,9.0,14.3,36.0,scs-bgx-501,N2
2019-03-20T00:25:00Z,8.9,14.2,40.7,scs-bgx-501,N2
2019-03-20T00:26:00Z,8.9,14.2,43.8,scs-bgx-501,N2
2019-03-20T00:27:00Z,9.0,14.2,35.2,scs-bgx-501,N2
2019-03-20T00:28:00Z,9.3,14.8,33.1,scs-bgx-501,N2
2019-03-20T00:29:00Z,10.0,15.8,36.1,scs-bgx-501,N2
2019-03-20T00:30:00Z,9.4,14.9,39.3,scs-bgx-501,N2
2019-03-20T00:31:00Z,9.8,15.6,47.5,scs-bgx-501,N2
2019-03-20T00:32:00Z,9.5,15.0,43.0,scs-bgx-501,N2
2019-03-20T00:33:00Z,10.0,15.6,46.5,scs-bgx-501,N2
2019-03-20T00:34:00Z,9.9,15.5,41.1,scs-bgx-501,N2
2019-03-20T00:35:00Z,9.7,15.1,34.9,scs-bgx-501,N2
2019-03-20T00:36:00Z,9.7,15.4,32.5,scs-bgx-501,N2
2019-03-20T00:37:00Z,10.4,16.5,42.7,scs-bgx-501,N2
2019-03-20T00:38:00Z,10.8,16.2,30.5,scs-bgx-501,N2
2019-03-20T00:39:00Z,10.7,16.0,27.4,scs-bgx-501,N2
2019-03-20T00:40:00Z,10.6,15.8,32.3,scs-bgx-501,N2
2019-03-20T00:41:00Z,9.9,14.8,32.5,scs-bgx-501,N2
2019-03-20T00:42:00Z,10.1,15.3,36.8,scs-bgx-501,N2
2019-03-20T00:43:00Z,10.1,15.2,42.0,scs-bgx-501,N2
2019-03-20T00:44:00Z,10.3,15.7,35.5,scs-bgx-501,N2
2019-03-20T00:45:00Z,10.0,15.1,35.3,scs-bgx-501,N2
2019-03-20T00:46:00Z,10.1,15.3,34.4,scs-bgx-501,N2
2019-03-20T00:47:00Z,10.6,15.6,33.1,scs-bgx-501,N2
2019-03-20T00:48:00Z,10.6,15.8,41.0,scs-bgx-501,N2
2019-03-20T00:49:00Z,10.4,15.6,32.9,scs-bgx-501,N2
2019-03-20T00:50:00Z,10.5,15.8,28.4,scs-bgx-501,N2
2019-03-20T00:51:00Z,10.8,16.1,34.1,scs-bgx-501,N2
2019-03-20T00:52:00Z,10.9,16.5,42.7,scs-bgx-501,N2
2019-03-20T00:53:00Z,10.4,15.8,33.6,scs-bgx-501,N2
2019-03-20T00:54:00Z,10.2,15.3,28.2,scs-bgx-501,N2
2019-03-20T00:55:00Z,10.8,16.0,28.2,scs-bgx-501,N2
2019-03-20T00:56:00Z,11.1,16.5,31.1,scs-bgx-501,N2
2019-03-20T00:57:00Z,10.8,15.7,25.0,scs-bgx-501,N2
2019-03-20T00:58:00Z,11.0,16.2,26.7,scs-bgx-501,N2
2019-03-20T00:59:00Z,10.6,15.6,32.6,scs-bgx-501,N2
2019-03-20T01:00:00Z,10.7,15.7,38.5,scs-bgx-501,N2
2019-03-20T01:01:00Z,10.7,15.8,29.8,scs-bgx-501,N2
2019-03-20T01:02:00Z,10.7,15.7,29.0,scs-bgx-501,N2
2019-03-20T01:03:00Z,10.8,15.9,30.7,scs-bgx-501,N2
2019-03-20T01:04:00Z,10.9,16.0,36.5,scs-bgx-501,N2
2019-03-20T01:05:00Z,11.2,16.6,30.4,scs-bgx-501,N2
2019-03-20T01:06:00Z,11.0,16.0,24.1,scs-bgx-501,N2
2019-03-20T01:07:00Z,11.3,16.5,31.9,scs-bgx-501,N2
2019-03-20T01:08:00Z,11.5,16.9,30.6,scs-bgx-501,N2
2019-03-20T01:09:00Z,11.2,16.4,32.8,scs-bgx-501,N2
2019-03-20T01:10:00Z,11.7,17.2,35.2,scs-bgx-501,N2
2019-03-20T01:11:00Z,11.3,16.5,30.7,scs-bgx-501,N2
2019-03-20T01:12:00Z,12.0,17.4,24.6,scs-bgx-501,N2
2019-03-20T01:13:00Z,11.8,17.1,28.6,scs-bgx-501,N2
2019-03-20T01:14:00Z,11.7,17.0,26.8,scs-bgx-501,N2
2019-03-20T01:15:00Z,11.5,16.8,31.9,scs-bgx-501,N2
2019-03-20T01:16:00Z,12.1,17.5,30.8,scs-bgx-501,N2
2019-03-20T01:17:00Z,11.6,17.1,34.8,scs-bgx-501,N2
2019-03-20T01:18:00Z,11.7,17.2,33.5,scs-bgx-501,N2
2019-03-20T01:19:00Z,11.4,16.6,35.8,scs-bgx-501,N2
2019-03-20T01:20:00Z,11.2,16.3,31.9,scs-bgx-501,N2
2019-03-20T01:21:00Z,11.4,16.8,32.0,scs-bgx-501,N2
2019-03-20T01:22:00Z,11.7,17.2,31.1,scs-bgx-501,N2
2019-03-20T01:23:00Z,12.1,17.6,29.2,scs-bgx-501,N2
2019-03-20T01:24:00Z,12.5,18.5,33.8,scs-bgx-501,N2
2019-03-20T01:25:00Z,12.7,18.7,36.8,scs-bgx-501,N2
2019-03-20T01:26:00Z,12.1,17.8,39.8,scs-bgx-501,N2
2019-03-20T01:27:00Z,11.9,17.4,28.1,scs-bgx-501,N2
2019-03-20T01:28:00Z,11.9,17.5,31.7,scs-bgx-501,N2
2019-03-20T01:29:00Z,12.1,17.9,37.2,scs-bgx-501,N2
2019-03-20T01:30:00Z,12.0,17.7,33.5,scs-bgx-501,N2
2019-03-20T01:31:00Z,13.1,19.3,30.9,scs-bgx-501,N2
2019-03-20T01:32:00Z,13.7,20.0,35.5,scs-bgx-501,N2
2019-03-20T01:33:00Z,13.4,19.6,35.1,scs-bgx-501,N2
2019-03-20T01:34:00Z,13.3,19.8,35.2,scs-bgx-501,N2
2019-03-20T01:35:00Z,12.6,18.6,37.1,scs-bgx-501,N2
2019-03-20T01:36:00Z,12.3,18.2,45.3,scs-bgx-501,N2
2019-03-20T01:37:00Z,13.0,19.2,38.7,scs-bgx-501,N2
2019-03-20T01:38:00Z,12.6,18.5,38.2,scs-bgx-501,N2
2019-03-20T01:39:00Z,12.5,18.3,33.0,scs-bgx-501,N2
2019-03-20T01:40:00Z,12.6,18.6,37.9,scs-bgx-501,N2
2019-03-20T01:41:00Z,12.6,18.5,32.6,scs-bgx-501,N2
2019-03-20T01:42:00Z,12.6,18.4,36.3,scs-bgx-501,N2
2019-03-20T01:43:00Z,12.7,18.7,34.6,scs-bgx-501,N2
2019-03-20T01:44:00Z,12.8,18.8,36.7,scs-bgx-501,N2
2019-03-20T01:45:00Z,12.9,19.1,36.4,scs-bgx-501,N2
2019-03-20T01:46:00Z,13.1,19.4,32.9,scs-bgx-501,N2
2019-03-20T01:47:00Z,13.2,19.5,37.4,scs-bgx-501,N2
2019-03-20T01:48:00Z,13.0,19.3,37.2,scs-bgx-501,N2
2019-03-20T01:49:00Z,13.3,19.8,41.1,scs-bgx-501,N2
2019-03-20T01:50:00Z,13.1,19.4,38.2,scs-bgx-501,N2
2019-03-20T01:51:00Z,13.2,19.6,39.6,scs-bgx-501,N2
2019-03-20T01:52:00Z,13.4,19.7,39.5,scs-bgx-501,N2
2019-03-20T01:53:00Z,13.2,19.3,40.5,scs-bgx-501,N2
2019-03-20T01:54:00Z,13.3,19.7,33.8,scs-bgx-501,N2
2019-03-20T01:55:00Z,13.6,20.0,35.4,scs-bgx-501,N2
2019-03-20T01:56:00Z,13.0,19.2,34.7,scs-bgx-501,N2
2019-03-20T01:57:00Z,13.0,19.2,38.0,scs-bgx-501,N2
2019-03-20T01:58:00Z,12.5,18.4,37.2,scs-bgx-501,N2
2019-03-20T01:59:00Z,13.1,19.3,36.8,scs-bgx-501,N2
2019-03-20T02:00:00Z,13.4,19.6,36.7,scs-bgx-501,N2
2019-03-20T02:01:00Z,13.3,19.7,37.0,scs-bgx-501,N2
2019-03-20T02:02:00Z,13.5,19.8,34.3,scs-bgx-501,N2
2019-03-20T02:03:00Z,13.3,19.6,37.6,scs-bgx-501,N2
2019-03-20T02:04:00Z,13.1,19.3,31.7,scs-bgx-501,N2
2019-03-20T02:05:00Z,13.6,19.8,34.8,scs-bgx-501,N2
2019-03-20T02:06:00Z,13.0,19.4,33.1,scs-bgx-501,N2
2019-03-20T02:07:00Z,13.2,19.6,34.3,scs-bgx-501,N2
2019-03-20T02:08:00Z,13.1,19.4,36.0,scs-bgx-501,N2
2019-03-20T02:09:00Z,12.9,19.1,35.7,scs-bgx-501,N2
2019-03-20T02:10:00Z,12.6,19.0,38.2,scs-bgx-501,N2
2019-03-20T02:11:00Z,13.0,19.3,41.2,scs-bgx-501,N2
2019-03-20T02:12:00Z,13.1,19.4,33.5,scs-bgx-501,N2
2019-03-20T02:13:00Z,13.1,19.2,34.4,scs-bgx-501,N2
2019-03-20T02:14:00Z,13.8,20.6,39.8,scs-bgx-501,N2
2019-03-20T02:15:00Z,14.0,21.0,49.3,scs-bgx-501,N2
2019-03-20T02:16:00Z,14.1,21.8,45.6,scs-bgx-501,N2
2019-03-20T02:17:00Z,14.9,23.2,50.1,scs-bgx-501,N2
2019-03-20T02:18:00Z,15.0,23.0,65.7,scs-bgx-501,N2
2019-03-20T02:19:00Z,14.7,23.0,57.3,scs-bgx-501,N2
